ZIP_CODE,Load Zone,Utility
14893,NYSEG in Zone C,New York State Electric & Gas Corporation
14905,NYSEG in Zone C,New York State Electric & Gas Corporation
14529,NYSEG in Zone C,New York State Electric & Gas Corporation
13777,NYSEG in Zone C,New York State Electric & Gas Corporation
13794,NYSEG in Zone C,New York State Electric & Gas Corporation
13850,NYSEG in Zone C,New York State Electric & Gas Corporation
13902,NYSEG in Zone C,New York State Electric & Gas Corporation
12139,NYSEG in Zone D,New York State Electric & Gas Corporation
12943,NYSEG in Zone D,New York State Electric & Gas Corporation
12944,NYSEG in Zone D,New York State Electric & Gas Corporation
12953,NYSEG in Zone D,New York State Electric & Gas Corporation
12978,NYSEG in Zone D,New York State Electric & Gas Corporation
10512,NYSEG in Zone G,New York State Electric & Gas Corporation
10597,NYSEG in Zone G,New York State Electric & Gas Corporation
12501,NYSEG in Zone G,New York State Electric & Gas Corporation
12564,NYSEG in Zone G,New York State Electric & Gas Corporation
12566,NYSEG in Zone G,New York State Electric & Gas Corporation
14130,NYSEG in Zone A,New York State Electric & Gas Corporation
14135,NYSEG in Zone A,New York State Electric & Gas Corporation
14136,NYSEG in Zone A,New York State Electric & Gas Corporation
14139,NYSEG in Zone A,New York State Electric & Gas Corporation
14206,NYSEG in Zone A,New York State Electric & Gas Corporation
14212,NYSEG in Zone A,New York State Electric & Gas Corporation
14219,NYSEG in Zone A,New York State Electric & Gas Corporation
14220,NYSEG in Zone A,New York State Electric & Gas Corporation
14224,NYSEG in Zone A,New York State Electric & Gas Corporation
14231,NYSEG in Zone A,New York State Electric & Gas Corporation
14272,NYSEG in Zone A,New York State Electric & Gas Corporation
14530,NYSEG in Zone A,New York State Electric & Gas Corporation
14549,NYSEG in Zone A,New York State Electric & Gas Corporation
14550,NYSEG in Zone A,New York State Electric & Gas Corporation
14556,NYSEG in Zone A,New York State Electric & Gas Corporation
14730,NYSEG in Zone A,New York State Electric & Gas Corporation
14733,NYSEG in Zone A,New York State Electric & Gas Corporation
14010,NYSEG in Zone A,New York State Electric & Gas Corporation
14024,NYSEG in Zone A,New York State Electric & Gas Corporation
