,GEOID,NAME,variable,estimate,moe,geoid_int,sf_tag,area,coverage,dac_coverage,pre_screened_coverage
1671,12195,ZCTA5 12195,S1901_C01_012,35625.0,18617.0,12195,0,5068672.49346793,0.9999999999999996,,
1672,12412,ZCTA5 12412,S1901_C01_012,68470.0,10350.0,12412,0,15709703.128891157,0.46052165395909755,,
1673,12421,ZCTA5 12421,S1901_C01_012,60375.0,17193.0,12421,0,50709497.682936974,0.9999885078025611,,
1674,14873,ZCTA5 14873,S1901_C01_012,50045.0,2974.0,14873,0,191325315.85462564,1.0000000000000009,,
1675,14884,ZCTA5 14884,S1901_C01_012,55179.0,17978.0,14884,0,50376489.51896377,0.9990778054738636,,
1676,14891,ZCTA5 14891,S1901_C01_012,48571.0,5069.0,14891,0,135206930.2416524,0.9701763944792121,,
1677,14903,ZCTA5 14903,S1901_C01_012,57526.0,6608.0,14903,0,54802281.0270965,0.9999999999999996,0.04971803849149976,
1678,13673,ZCTA5 13673,S1901_C01_012,48575.0,5157.0,13673,0,90109753.98003271,,,
1679,14304,ZCTA5 14304,S1901_C01_012,53797.0,3412.0,14304,0,57321620.50170892,,,
1680,11801,ZCTA5 11801,S1901_C01_012,106151.0,6391.0,11801,0,17212209.77074701,,,
1681,12934,ZCTA5 12934,S1901_C01_012,52778.0,14370.0,12934,0,152244537.16252494,0.9999999999999998,,
1682,12183,ZCTA5 12183,S1901_C01_012,53454.0,12483.0,12183,0,2411746.998242372,,,
1683,12526,ZCTA5 12526,S1901_C01_012,76417.0,8373.0,12526,0,83185399.33392133,,,
1684,13418,ZCTA5 13418,S1901_C01_012,63438.0,39898.0,13418,0,13426619.183731198,1.0000000000000002,,
1685,13428,ZCTA5 13428,S1901_C01_012,40662.0,12306.0,13428,0,41071178.4642133,,,
1686,13090,ZCTA5 13090,S1901_C01_012,74396.0,3851.0,13090,0,39254993.10385744,,,
1687,13450,ZCTA5 13450,S1901_C01_012,51328.0,3337.0,13450,0,6168012.175266625,0.7876476143211992,,
1688,14555,ZCTA5 14555,S1901_C01_012,46389.0,10260.0,14555,0,16482092.547118325,,,
1689,12878,ZCTA5 12878,S1901_C01_012,55694.0,6317.0,12878,0,223968131.63221112,,,
1690,12018,ZCTA5 12018,S1901_C01_012,89577.0,9906.0,12018,0,118354369.09536935,0.45130746861446697,,
1691,12721,ZCTA5 12721,S1901_C01_012,71953.0,14056.0,12721,1,65818681.61182976,,,
1692,12964,ZCTA5 12964,S1901_C01_012,,,12964,0,90946656.3141439,0.9815537156844056,,
1693,12918,ZCTA5 12918,S1901_C01_012,63648.0,6336.0,12918,0,102128520.37229942,1.0000000000000002,,
1694,12074,ZCTA5 12074,S1901_C01_012,81141.0,11377.0,12074,0,94443425.6079126,,,
1695,14711,ZCTA5 14711,S1901_C01_012,49893.0,3321.0,14711,0,104187970.42760187,,,
1696,12561,ZCTA5 12561,S1901_C01_012,66148.0,9030.0,12561,0,155932520.12798902,,,
1697,12582,ZCTA5 12582,S1901_C01_012,106842.0,12890.0,12582,0,34121713.26824302,0.12595255587397472,0.09335658396295289,
1698,12738,ZCTA5 12738,S1901_C01_012,61645.0,17907.0,12738,0,17096572.913283587,0.9971046340860222,0.5655060145929974,
1699,12857,ZCTA5 12857,S1901_C01_012,61042.0,9030.0,12857,0,112555638.36916973,,,
1700,12461,ZCTA5 12461,S1901_C01_012,66739.0,23639.0,12461,0,61836109.02317573,,,
1701,12473,ZCTA5 12473,S1901_C01_012,46563.0,26314.0,12473,0,38761487.53336096,0.0026406688368138024,,
1702,11970,ZCTA5 11970,S1901_C01_012,,,11970,0,1540345.412343991,,,
1703,12590,ZCTA5 12590,S1901_C01_012,88982.0,4763.0,12590,0,90551041.12475675,,,
1704,11234,ZCTA5 11234,S1901_C01_012,81399.0,2556.0,11234,0,21326253.14097416,,,
1705,13314,ZCTA5 13314,S1901_C01_012,50469.0,20865.0,13314,0,10140240.232116718,0.9999999999999998,,
1706,12117,ZCTA5 12117,S1901_C01_012,53091.0,3546.0,12117,0,117630033.43182501,,,
1707,12441,ZCTA5 12441,S1901_C01_012,,,12441,0,16299047.834072454,1.0000000000000002,,
1708,12423,ZCTA5 12423,S1901_C01_012,44241.0,8754.0,12423,0,32897454.263538845,,,
1709,10960,ZCTA5 10960,S1901_C01_012,84983.0,5884.0,10960,1,10896784.692824574,,,
1710,14838,ZCTA5 14838,S1901_C01_012,60368.0,8217.0,14838,0,93673186.48690467,1.0000000000000013,,
1711,10915,ZCTA5 10915,S1901_C01_012,,,10915,1,359775.6659990387,,,
1712,11432,ZCTA5 11432,S1901_C01_012,55906.0,2423.0,11432,0,5524264.098248987,,,
1713,12494,ZCTA5 12494,S1901_C01_012,91544.0,44666.0,12494,0,48466466.07957406,3.262346851181602e-06,,
1714,13667,ZCTA5 13667,S1901_C01_012,41682.0,13907.0,13667,0,129341066.76302171,,,
1715,13602,ZCTA5 13602,S1901_C01_012,45156.0,16040.0,13602,0,25809428.87847954,,,
1716,13620,ZCTA5 13620,S1901_C01_012,39235.0,4218.0,13620,0,120591805.47766097,,,
1717,13348,ZCTA5 13348,S1901_C01_012,61133.0,10298.0,13348,0,95742395.00256011,1.0,,
1718,13615,ZCTA5 13615,S1901_C01_012,61389.0,37908.0,13615,0,9963198.159552282,,,
1719,13148,ZCTA5 13148,S1901_C01_012,55621.0,3625.0,13148,0,163812391.92708057,0.9999999999999984,0.3039619615201526,
1720,13165,ZCTA5 13165,S1901_C01_012,54973.0,3248.0,13165,0,176560756.99800393,0.9999999999999989,0.0788232832053379,
1721,12863,ZCTA5 12863,S1901_C01_012,102727.0,48512.0,12863,0,9284498.959860757,,,
1722,10004,ZCTA5 10004,S1901_C01_012,157645.0,17195.0,10004,0,1782479.186760447,,,
1723,13491,ZCTA5 13491,S1901_C01_012,57557.0,5227.0,13491,0,187113056.6441696,0.9958850716537548,,
1724,14420,ZCTA5 14420,S1901_C01_012,57320.0,3933.0,14420,0,156767132.72908586,,,
1725,14450,ZCTA5 14450,S1901_C01_012,83593.0,4092.0,14450,0,82968947.10515642,,,
1726,10591,ZCTA5 10591,S1901_C01_012,95339.0,10016.0,10591,0,26215365.42264343,,,
1727,10901,ZCTA5 10901,S1901_C01_012,95744.0,6247.0,10901,1,46831012.0180604,,,
1728,11741,ZCTA5 11741,S1901_C01_012,105410.0,5788.0,11741,0,19299549.40661491,,,
1729,11753,ZCTA5 11753,S1901_C01_012,168627.0,15143.0,11753,0,10144593.981655423,,,
1730,11784,ZCTA5 11784,S1901_C01_012,91162.0,3899.0,11784,0,14208540.548640864,,,
1731,14228,ZCTA5 14228,S1901_C01_012,54132.0,5886.0,14228,0,41661268.761183314,,,
1732,11803,ZCTA5 11803,S1901_C01_012,144444.0,7869.0,11803,0,15658491.177402696,,,
1733,11949,ZCTA5 11949,S1901_C01_012,95851.0,12122.0,11949,0,89971674.6417723,,,
1734,11957,ZCTA5 11957,S1901_C01_012,70250.0,13098.0,11957,0,19520734.86493976,,,
1735,13842,ZCTA5 13842,S1901_C01_012,54375.0,17215.0,13842,0,32608343.581951197,0.9999999999999986,,
1736,12222,ZCTA5 12222,S1901_C01_012,,,12222,0,1411950.9291870203,,,
1737,13670,ZCTA5 13670,S1901_C01_012,41389.0,17060.0,13670,0,190589071.21338418,,,
1738,12928,ZCTA5 12928,S1901_C01_012,55521.0,7457.0,12928,0,197319535.08383825,,,
1739,12468,ZCTA5 12468,S1901_C01_012,50417.0,8062.0,12468,0,113096126.2712815,0.6927070008704947,,
1740,13614,ZCTA5 13614,S1901_C01_012,,,13614,0,23191292.509125117,,,
1741,12139,ZCTA5 12139,S1901_C01_012,60000.0,22576.0,12139,0,643822690.5956724,8.826962770993129e-07,,
1742,12075,ZCTA5 12075,S1901_C01_012,65144.0,13073.0,12075,0,102147347.56160726,0.9929275520236238,,
1743,14837,ZCTA5 14837,S1901_C01_012,54704.0,5871.0,14837,0,209599239.35611266,0.9999999999999996,0.32643373472597087,
1744,14717,ZCTA5 14717,S1901_C01_012,43875.0,7059.0,14717,0,71373356.15255195,,,
1745,12729,ZCTA5 12729,S1901_C01_012,46192.0,13829.0,12729,1,58353414.169280775,,,
1746,13838,ZCTA5 13838,S1901_C01_012,36815.0,10466.0,13838,0,27022149.601329595,0.9999999999999996,0.5121652989377236,
1747,13861,ZCTA5 13861,S1901_C01_012,75700.0,34089.0,13861,0,11457722.52765033,1.0000000000000002,,
1748,14530,ZCTA5 14530,S1901_C01_012,52599.0,5921.0,14530,0,128625482.97949156,0.9771512593295305,,
1749,12788,ZCTA5 12788,S1901_C01_012,65060.0,8466.0,12788,0,61438420.02373811,0.9011542414707865,0.8063661357698256,
1750,13486,ZCTA5 13486,S1901_C01_012,51250.0,15552.0,13486,0,85072753.94430616,,,
1751,14541,ZCTA5 14541,S1901_C01_012,58382.0,7510.0,14541,0,127734367.39440909,1.0000000000000007,,
1752,13404,ZCTA5 13404,S1901_C01_012,42750.0,12359.0,13404,0,7630472.059606924,,,
1753,13676,ZCTA5 13676,S1901_C01_012,50292.0,5785.0,13676,0,416102941.55981517,,,
1754,12060,ZCTA5 12060,S1901_C01_012,75469.0,9743.0,12060,0,89583485.88272437,0.9999695934301832,,
1755,14739,ZCTA5 14739,S1901_C01_012,42102.0,5912.0,14739,0,204827866.73321137,,,
1756,11733,ZCTA5 11733,S1901_C01_012,146802.0,11686.0,11733,0,35051056.16428328,,,
1757,14604,ZCTA5 14604,S1901_C01_012,21899.0,14126.0,14604,0,998809.2918792326,,,
1758,12851,ZCTA5 12851,S1901_C01_012,49583.0,16385.0,12851,0,293774351.3630157,0.001905031778516671,,
1759,13626,ZCTA5 13626,S1901_C01_012,50583.0,11458.0,13626,0,257415797.80084744,,,
1760,13787,ZCTA5 13787,S1901_C01_012,46013.0,8231.0,13787,0,165745982.03123462,0.9999999999999998,,
1761,13806,ZCTA5 13806,S1901_C01_012,41000.0,13906.0,13806,0,8003252.70018404,1.0000000000000007,,
1762,13346,ZCTA5 13346,S1901_C01_012,67045.0,14118.0,13346,0,100396391.33901702,0.9507115025518779,,
1763,10022,ZCTA5 10022,S1901_C01_012,135363.0,16706.0,10022,0,1118134.8569084706,,,
1764,12027,ZCTA5 12027,S1901_C01_012,101058.0,19929.0,12027,0,18608298.98847735,,,
1765,12042,ZCTA5 12042,S1901_C01_012,46250.0,37298.0,12042,0,11237688.509454705,,,
1766,12852,ZCTA5 12852,S1901_C01_012,50000.0,11220.0,12852,0,329645356.4021208,0.8178677138689728,,
1767,14809,ZCTA5 14809,S1901_C01_012,50208.0,2801.0,14809,0,144470364.88217327,0.9999999999999993,4.138566561370806e-13,
1768,12985,ZCTA5 12985,S1901_C01_012,41289.0,15393.0,12985,0,143673276.44019756,0.7372527047435073,,
1769,10465,ZCTA5 10465,S1901_C01_012,74796.0,4003.0,10465,0,8938506.445605315,,,
1770,13693,ZCTA5 13693,S1901_C01_012,45438.0,8226.0,13693,0,52716215.81933036,,,
1771,14005,ZCTA5 14005,S1901_C01_012,70673.0,6853.0,14005,0,86644242.21472853,9.010003580517e-11,,
