ZIP,Utility,zip_flag,pre_screen_flag,dac_flag
14004,ORU,FALSE,FALSE,FALSE
14215,ORU,FALSE,FALSE,FALSE
14504,ORU,FALSE,FALSE,FALSE
14772,ORU,FALSE,FALSE,FALSE
14883,ORU,FALSE,FALSE,FALSE
13033,ORU,FALSE,FALSE,FALSE
12747,ORU,FALSE,FALSE,FALSE
14847,ORU,FALSE,FALSE,FALSE
13654,ORU,FALSE,FALSE,FALSE
11510,ORU,FALSE,FALSE,FALSE
12603,ORU,FALSE,FALSE,FALSE
12198,ORU,FALSE,FALSE,FALSE
14842,ORU,FALSE,FALSE,FALSE
14546,ORU,FALSE,FALSE,FALSE
13903,ORU,FALSE,FALSE,FALSE
14590,ORU,FALSE,FALSE,FALSE
11952,ORU,FALSE,FALSE,FALSE
14753,ORU,FALSE,FALSE,FALSE
11975,ORU,FALSE,FALSE,FALSE
11224,ORU,FALSE,FALSE,FALSE
14098,ORU,FALSE,FALSE,FALSE
10958,ORU,TRUE,FALSE,TRUE
13656,ORU,FALSE,FALSE,FALSE
14040,ORU,FALSE,FALSE,FALSE
14624,ORU,FALSE,FALSE,FALSE
14058,ORU,FALSE,FALSE,FALSE
13834,ORU,FALSE,FALSE,FALSE
12118,ORU,FALSE,FALSE,FALSE
10453,ORU,FALSE,FALSE,FALSE
14139,ORU,FALSE,FALSE,FALSE
14517,ORU,FALSE,FALSE,FALSE
10803,ORU,FALSE,FALSE,FALSE
10528,ORU,FALSE,FALSE,FALSE
10930,ORU,TRUE,FALSE,FALSE
10917,ORU,TRUE,FALSE,FALSE
14171,ORU,FALSE,FALSE,FALSE
10588,ORU,FALSE,FALSE,FALSE
12164,ORU,FALSE,FALSE,FALSE
13905,ORU,FALSE,FALSE,FALSE
12977,ORU,FALSE,FALSE,FALSE
13413,ORU,FALSE,FALSE,FALSE
12469,ORU,FALSE,FALSE,FALSE
